"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
3,2,"2",3,"2",49,11,"1",1,4,2,-31,-63,-64,3.33333333333333,1.66666666666667,5,4.85714285714286,"0",0.815395494521315,1236677543
4,6,"1",3,"1",26,4,"2",5,1.66666666666667,3,100,100,100,2.33333333333333,2.33333333333333,5,4.42857142857143,"2",1.43306816210147,1236679951
4,6,"1",2,"1",52,8,"3",3,1.66666666666667,2,-19,-47,-17,2,1,3,4.42857142857143,"1",6.4749579461662,1236686619
4,6,"1",5,"1",54,14,"3",3,1,1.5,-65,-77,-90,4.66666666666667,1.66666666666667,5,4.42857142857143,"0",0.730963644410155,1236703601
1,1,"2",4,"1",69,5,"2",5,4.66666666666667,4.5,97,99,100,1,6,5,4.85714285714286,"2",1.52396906766023,1236714887
1,2,"2",6,"2",35,10,"2",3,2.33333333333333,1,9,2,50,4.66666666666667,4,4,3.71428571428571,"0",0.642082947469479,1236749209
2,2,"2",4,"1",75,97,"3",3,2,2,-66,-96,-89,3,1.66666666666667,1,3,"0",1.09233895417167,1236754351
4,6,"1",5,"1",80,4,"3",3,3.33333333333333,2.5,62,74,69,1,2.33333333333333,4.25,4.42857142857143,"2",0.954665491423916,1236813931
4,6,"1",5,"1",80,4,"3",3,3.33333333333333,2.5,62,74,69,1,2.33333333333333,4.25,4.42857142857143,"2",0.954665491423916,1236813931
1,2,"2",2,"2",47,1,"2",3,5,3,28,2,21,2.33333333333333,2.33333333333333,4.25,4,"2",0.73150275678247,1236836261
1,2,"1",4,"1",42,7,"2",4,4.66666666666667,4.5,98,99,100,2.66666666666667,3,5,5,"2",1.73377046197565,1236864259
3,4,"1",4,"1",55,9,"2",4,4,3.5,100,100,100,1,6,5,4.57142857142857,"2",0.955206883442232,1236867699
3,6,"1",4,"1",79,7,"3",4,3.33333333333333,3.5,91,97,98,1,3.33333333333333,4.5,4.71428571428571,"2",1.05497397121027,1236869983
3,5,"1",6,"2",43,97,"3",3,3.33333333333333,3,3,0,0,3,3,1,1,"2",0.731129649792101,1236877309
4,6,"2",6,"1",57,97,"1",3,3,1,-75,-94,-80,3.66666666666667,1.66666666666667,4.25,3.85714285714286,"0",0.883661908865727,1236889997
1,2,"2",3,"1",30,2,"2",3,2.33333333333333,2.5,17,2,17,3,3,3.25,3,"0",0.918230570602991,1236890741
1,2,"2",5,"1",61,11,"3",3,2.66666666666667,2,9,84,0,6,6,1,1,"2",1.18919271070701,1236891453
1,2,"2",2,"1",63,97,"2",5,3.66666666666667,5,92,87,93,1,1.33333333333333,5,5,"1",0.704586122094288,1236896023
2,6,"1",1,"1",65,2,"2",4,4.33333333333333,5,100,100,100,1,3,4.75,5,"2",3.43036588810902,1236900757
2,3,"1",5,"1",64,8,"2",4,3.33333333333333,1.5,29,45,48,1.66666666666667,4.66666666666667,5,4.14285714285714,"1",1.01979882655562,1236920133
2,4,"2",6,"1",29,10,"2",4,1.66666666666667,2,10,-13,-22,2,2,3.5,2,"0",0.676888092728799,1236923081
2,5,"2",4,"1",45,6,"3",3,3.33333333333333,1,1,50,48,1.66666666666667,1.66666666666667,3,3,"2",1.21873066796847,1236928431
1,6,"2",3,"1",66,97,"2",4,4.33333333333333,4,100,100,100,2.66666666666667,4.33333333333333,5,5,"2",1.52396906766023,1236929987
2,3,"2",6,"1",24,8,"1",3,1.33333333333333,1,-45,-60,-69,2,1.33333333333333,3.5,3.28571428571429,"0",0.676888092728799,1236939595
2,4,"2",2,"1",58,4,"2",3,3,4,-1,94,89,1.66666666666667,1,4.75,3.85714285714286,"3",0.509950488059943,1236953477
2,4,"2",2,"1",61,97,"2",5,3.33333333333333,2.5,90,100,96,1,4.66666666666667,5,5,"2",0.704586122094288,1236953963
3,5,"1",5,"1",34,11,"3",1,1,1,-43,-57,-82,3,3,5,5,"0",0.809208479152677,1236993235
1,2,"2",6,"1",37,12,"3",5,5,4,5,50,1,1,1,2.75,3.71428571428571,"2",1.19388376330148,1237003335
1,5,"2",2,"1",67,3,"3",3,2,3.5,9,-28,-9,1,1,3,3,"0",0.645098632954623,1237027271
1,2,"2",2,"1",78,2,"2",5,4.33333333333333,2.5,93,93,95,3,4.33333333333333,5,5,"2",1.06641411116284,1237028251
2,2,"2",5,"1",73,9,"1",2,1.33333333333333,1.5,-88,-90,-89,2.33333333333333,1,4,4.28571428571429,"0",0.731259195749353,1237030257
3,6,"2",2,"1",57,3,"3",5,3.33333333333333,3.5,56,100,91,1,1.33333333333333,2.5,1.57142857142857,"2",0.704586122094288,1237030789
3,6,"2",2,"1",69,2,"1",1,1.66666666666667,2,-94,-96,-91,5,1.33333333333333,4.5,5,"0",0.764376193468287,1237078721
2,5,"1",2,"1",72,8,"1",3,2.66666666666667,3,-67,-80,-86,1,1,3.25,3.85714285714286,"0",0.94627528629437,1237121253
1,1,"1",2,"1",62,3,"1",4,3.66666666666667,3.5,88,90,83,6,3.66666666666667,1,4,"2",1.40623566948165,1237157273
3,4,"2",5,"1",24,97,"1",1,1,1,-40,-56,-51,3.33333333333333,1.66666666666667,2.75,4.71428571428571,"0",0.492619506186913,1237230335
3,3,"2",3,"2",30,11,"3",6,2.33333333333333,1.5,-84,-86,-96,3,3,3.25,3,"0",0.731941315635597,1237235287
2,6,"2",2,"1",59,6,"3",3,4.33333333333333,3,49,53,46,1,1,3.5,4,"2",0.704586122094288,1237246961
1,1,"1",6,"1",53,97,"2",4,3.66666666666667,2.5,70,72,64,4,5.66666666666667,4.25,4.85714285714286,"1",1.0124296228502,1237250903
2,2,"2",5,"1",23,8,"1",1,1,1,-61,-51,-69,3,1.66666666666667,3.25,4.85714285714286,"0",0.492619506186913,1237282721
4,6,"2",3,"1",44,9,"1",3,2.33333333333333,2,-51,-63,-61,2.66666666666667,2.33333333333333,4.75,4,"1",0.658162322625671,1237283805
3,6,"2",4,"1",43,3,"3",3,2.33333333333333,2.5,55,96,90,1.33333333333333,1.33333333333333,4,3,"2",0.918230570602991,1237288733
4,6,"2",4,"1",44,2,"1",1,2,1,-60,-47,-52,1,1,4,4,"0",0.658162322625671,1237291343
4,6,"1",5,"1",42,6,"1",2,1.33333333333333,1.5,-94,-93,-92,3,1.33333333333333,4.25,4,"0",0.809208479152677,1237332585
4,6,"1",5,"2",40,97,"1",1,1,1,-89,-98,-100,4,2,5,4.42857142857143,"0",0.554265077048355,1237334475
2,3,"2",5,"1",27,5,"3",3,2,1.5,-7,8,10,2.33333333333333,2.66666666666667,2,2.28571428571429,"2",0.687274665695867,1237334697
2,6,"2",2,"1",36,6,"2",5,4.66666666666667,3,91,94,89,1,1.33333333333333,5,4.28571428571429,"2",0.848604537731446,1237338927
2,5,"1",3,"1",59,2,"2",3,2.33333333333333,3.5,-3,2,-8,1.66666666666667,1,2.75,2.85714285714286,"0",0.955206883442232,1237369109
1,2,"2",3,"1",77,11,"1",3,4.33333333333333,2.5,-85,-95,-79,2.33333333333333,1.33333333333333,3.75,3.57142857142857,"0",1.09233895417167,1237369115
1,4,"1",4,"2",65,6,"1",4,5,3.5,-77,-79,-79,2.33333333333333,2.33333333333333,4,4,"0",0.675546438045946,1237370807
